            h_S  h_OH  h_OHan      h_NO      h_NH  h_OA     h_SBH
t           NaN   NaN     NaN       NaN       NaN   NaN       NaN
t354   0.261177   0.0     1.0  0.950493  0.963000   0.0  0.977495
t355   0.260143   0.0     1.0  0.950441  0.963015   0.0  0.977493
t356   0.259120   0.0     1.0  0.950389  0.963030   0.0  0.977492
t357   0.258108   0.0     1.0  0.950337  0.963044   0.0  0.977490
t358   0.257106   0.0     1.0  0.950285  0.963059   0.0  0.977489
t359   0.256115   0.0     1.0  0.950234  0.963074   0.0  0.977487
t360   0.255135   0.0     1.0  0.950183  0.963088   0.0  0.977486
t361   0.254165   0.0     1.0  0.950132  0.963103   0.0  0.977484
t362   0.253206   0.0     1.0  0.950082  0.963117   0.0  0.977483
t363   0.252257   0.0     1.0  0.950032  0.963132   0.0  0.977482
t364   0.251319   0.0     1.0  0.949982  0.963146   0.0  0.977481
t365   0.250390   0.0     1.0  0.949932  0.963160   0.0  0.977479
t366   0.249473   0.0     1.0  0.949883  0.963174   0.0  0.977478
t367   0.248565   0.0     1.0  0.949833  0.963189   0.0  0.977477
t368   0.247668   0.0     1.0  0.949784  0.963203   0.0  0.977476
t369   0.246780   0.0     1.0  0.949736  0.963217   0.0  0.977475
t370   0.245903   0.0     1.0  0.949687  0.963231   0.0  0.977474
t371   0.245036   0.0     1.0  0.949639  0.963245   0.0  0.977473
t372   0.244179   0.0     1.0  0.949591  0.963259   0.0  0.977473
t373   0.243331   0.0     1.0  0.949544  0.963273   0.0  0.977472
t374   0.242494   0.0     1.0  0.949496  0.963286   0.0  0.977471
t375   0.241666   0.0     1.0  0.949449  0.963300   0.0  0.977470
t376   0.240848   0.0     1.0  0.949402  0.963314   0.0  0.977469
t377   0.240040   0.0     1.0  0.949355  0.963328   0.0  0.977469
t378   0.239241   0.0     1.0  0.949309  0.963341   0.0  0.977468
t379   0.238452   0.0     1.0  0.949262  0.963355   0.0  0.977468
t380   0.237672   0.0     1.0  0.949216  0.963368   0.0  0.977467
t381   0.236901   0.0     1.0  0.949171  0.963382   0.0  0.977467
t382   0.236140   0.0     1.0  0.949125  0.963395   0.0  0.977466
t383   0.235388   0.0     1.0  0.949080  0.963408   0.0  0.977466
t384   0.234646   0.0     1.0  0.949035  0.963422   0.0  0.977465
t385   0.233912   0.0     1.0  0.948990  0.963435   0.0  0.977465
t386   0.233187   0.0     1.0  0.948945  0.963448   0.0  0.977465
